"sample_name","HPV_int_status","cohort","HPV_status","samples","all_reads","e6","e6_first_exon","e6_fl","e6_star","e6_star_182N","e6_read_in_182N_region","e6_fl_ratio","e6_FL_ratio_use_splice","e7","e1","e1_isoform","e1fl_ratio","e2","e4","e5","l1","l2","batch","HPV_int_status_egene","HPV_int_status_final"
"130-MCDM-3","HPVint(+) confident","cell_line","HPV16","130-MCDM-3",4211,2929,1565,314,9.06782872300113,1128,1564,0.159849734929607,0.174835405998537,550,251,0,1,293,0,31,11,13,"cell_line","pos","HPVint(+) confident"
"130-MCDM-4","HPVint(+) confident","cell_line","HPV16","130-MCDM-4",11795,6990,4222,239,27.8040545661235,3381,4219,0.0450999734514656,0.083988079111352,2117,702,419,0.160320641282565,1398,909,44,267,146,"cell_line","neg","HPVint(+) confident"
"130-MCDM-5","HPVint(+) confident","cell_line","HPV16","130-MCDM-5",7335,6274,3451,522,20.9318681318681,2838,3449,0.120509742358482,0.132110091743119,770,240,0,1,4,3,0,0,0,"cell_line","pos","HPVint(+) confident"
"15911","HPVint(+) likely","FF","HPV16","15911",9160,1564,708,129,4.17396741189845,312,447,0.145162041348482,0.106017191977077,1409,1094,354,0.082901554404145,4469,2117,653,38,17,"FF","neg","HPVint(+) likely"
"15912","HPVint(+) confident","FF","HPV16","15912",4635,2586,1158,142,7.20598711633194,681,832,0.0976959137580899,0.0784844384303113,1648,361,0,1,7,3,1,5,1,"FF","pos","HPVint(+) confident"
"15914","HPVint(+) confident","FF","HPV16","15914",82570,5262,1047,1451,-0.751837817355058,235,728,1,0.587719298245614,4411,6913,710,0.302554027504912,26263,12418,4155,7124,793,"FF","neg","HPVint(+) confident"
"15915","HPVint(+) likely","FF","HPV16","15915",7604,989,467,90,2.72618416066692,166,276,0.153540249899993,0.182266009852217,820,1071,199,0.12719298245614,3698,1632,735,270,70,"FF","neg","HPVint(+) likely"
"15916","HPVint(+) confident","FF","HPV16","15916",4772,583,233,66,1.24425918908678,102,156,0.225675611941706,0.209302325581395,659,660,172,0.0702702702702702,2437,1073,433,23,30,"FF","neg","HPVint(+) confident"
"15917","HPVint(+) confident","FF","HPV16","15917",3650,444,203,28,1.24615384615385,81,137,0.10989010989011,0.1,526,382,153,0.04375,1864,878,398,36,12,"FF","neg","HPVint(+) confident"
"15922","HPVint(-) confident","FF","HPV35","15922",11926,2097,830,250,5.3199220134704,454,614,0.205216470276711,0.215889464594128,1883,1666,266,0.141935483870968,4810,2319,1113,24,26,"FF","neg","HPVint(-) confident"
"15925","HPVint(+) confident","FF","HPV18","15925",1277,566,238,80,1.40540080074964,111,147,0.238249145812171,0.569767441860465,474,180,0,1,0,0,0,17,0,"FF","pos","HPVint(+) confident"
"2536-KZ-1-FS","HPVint(+) confident","FFPE","HPV18","2536-KZ-1-FS",13600,4778,1137,1870,-1.46077178635318,586,1127,1,0.65035799522673,2403,1787,0,1,0,0,0,1267,0,"FFPE","pos","HPVint(+) confident"
"2536-KZ-10-FS","HPVint(+) confident","FFPE","HPV16","2536-KZ-10-FS",70574,5409,1142,1572,-0.761500568397119,560,1120,1,0.441117764471058,3683,21298,257,0.641562064156206,8229,2664,669,19948,3111,"FFPE","neg","HPVint(+) confident"
"2536-KZ-14-FS","HPVint(-) confident","FFPE","HPV33","2536-KZ-14-FS",5324,130,86,14,0.643006870851287,43,80,0.0728738141214004,0.338461538461538,826,1935,456,0.163302752293578,1908,479,123,39,469,"FFPE","neg","HPVint(-) confident"
"2536-KZ-17-FS","HPVint(-) likely","FFPE","HPV16","2536-KZ-17-FS",15239,995,312,244,0.811064797271694,98,281,0.623062834601296,0.568281938325991,944,4267,260,0.321148825065274,3069,1252,430,2120,2442,"FFPE","neg","HPVint(-) likely"
"2536-KZ-18-FS","HPVint(+) likely","FFPE","HPV16","2536-KZ-18-FS",8945,699,225,229,0.293482379689276,38,199,0.810866910866911,0.74496644295302,530,2322,72,0.653846153846154,1491,568,176,1396,1525,"FFPE","neg","HPVint(+) likely"
"2536-KZ-23-FS","HPVint(-) confident","FFPE","HPV16","2536-KZ-23-FS",5940,343,95,68,0.28154604016673,49,81,0.570271833429728,0.109090909090909,522,2186,147,0.0636942675159236,1549,496,184,454,657,"FFPE","neg","HPVint(-) confident"
"2536-KZ-28-FS","HPVint(+) confident","FFPE","HPV16","2536-KZ-28-FS",4487,819,177,216,0.033876468359227,117,171,0.972248090892159,0.214765100671141,538,3049,0,1,13,2,1,17,16,"FFPE","pos","HPVint(+) confident"
"2536-KZ-33-FS","HPVint(-) confident","FFPE","HPV16","2536-KZ-33-FS",5455,408,130,113,0.27567260325881,53,130,0.692519019442096,0.45360824742268,301,2061,70,0.306930693069307,976,337,110,523,785,"FFPE","neg","HPVint(-) confident"
"2536-KZ-34-FS","HPVint(-) likely","FFPE","HPV16","2536-KZ-34-FS",23991,2010,577,443,1.54524441076165,295,553,0.611680347382254,0.32648401826484,2038,7693,715,0.162763466042155,5487,2671,530,2716,2580,"FFPE","neg","HPVint(-) likely"
"2536-KZ-7-FS","HPVint(-) confident","FFPE","HPV16","2536-KZ-7-FS",7675,689,247,116,1.06608563849943,100,238,0.374160252702763,0.21875,724,2011,278,0.165165165165165,2126,1091,168,735,990,"FFPE","neg","HPVint(-) confident"
"36304","HPVint(-) confident","FF","HPV35","36304",35750,7273,2898,1348,15.9643743353421,1136,1931,0.316914279647199,0.366071428571429,5112,3805,1376,0.054945054945055,14738,6955,3737,78,57,"FF","neg","HPVint(-) confident"
"36305","HPVint(+) likely","FF","HPV16","36305",7243,1142,523,73,3.20579765062524,251,354,0.111203328220537,0.0872727272727273,1216,711,327,0.0494186046511628,3490,1713,620,67,32,"FF","neg","HPVint(+) likely"
"36306","HPVint(-) confident","FF","HPV16","36306",8746,1219,551,90,3.30549450549451,247,340,0.130133024869867,0.184818481848185,1182,676,326,0.0439882697947214,4529,1902,1136,34,13,"FF","neg","HPVint(-) confident"
"36308","HPVint(+) likely","FF","HPV33","36308",13381,1520,1178,105,9.12093862815884,566,662,0.0399011970359111,0.100158982511924,2254,1346,809,0.0369047619047619,5673,2092,1355,172,105,"FF","neg","HPVint(+) likely"
"36311","HPVint(-) confident","FF","HPV16","36311",17088,2974,1382,291,7.93213338385752,553,917,0.167757351187163,0.178306092124814,2345,2135,490,0.11070780399274,7683,3405,1366,511,186,"FF","neg","HPVint(-) confident"
"36313","HPVint(+) confident","FF","HPV16","36313",5727,2227,1217,121,7.7282682834407,315,663,0.079212077979539,0.429347826086957,1285,317,69,0.273684210526316,1433,666,399,48,24,"FF","neg","HPVint(+) confident"
"36314","HPVint(+) confident","FF","HPV16","36314",1580,745,354,27,2.29302766199318,189,236,0.0607655056807599,0.0735294117647058,461,364,0,1,2,0,0,5,0,"FF","pos","HPVint(+) confident"
"36315","HPVint(+) confident","FF","HPV16","36315",1158,726,372,19,2.46112163698371,169,228,0.0406918350466738,0.0451977401129944,422,2,0,1,1,1,0,0,0,"FF","pos","HPVint(+) confident"
"36316","HPVint(+) confident","FF","HPV16","36316",20071,2687,1294,132,8.19886320575976,560,885,0.0812711245477861,0.0923824959481362,3142,1112,920,0.0295358649789029,10053,4627,2968,119,32,"FF","neg","HPVint(+) confident"
"36321","HPVint(+) likely","FF","HPV16","36321",39797,7284,3359,564,20.0666161424782,1547,2313,0.133772152230027,0.130898876404494,6517,4652,1784,0.0649895178197065,18171,8614,3216,80,76,"FF","neg","HPVint(+) likely"
"3687-SS-1","HPVint(+) confident","FFPE","HPV16","3687-SS-1",3055,311,63,87,-0.0435392194012884,15,43,1,1,264,1045,102,0.105263157894737,667,340,88,219,354,"FFPE","neg","HPVint(+) confident"
"3687-SS-10","HPVint(+) confident","FFPE","HPV16","3687-SS-10",59168,3241,618,1360,-3.21045850701023,80,262,1,0.691119691119691,1337,20587,167,0.632967032967033,7162,1754,1512,12594,8675,"FFPE","neg","HPVint(+) confident"
"3687-SS-11","HPVint(+) confident","FFPE","HPV16","3687-SS-11",15003,1137,214,374,-0.579082985979537,70,103,1,0.320388349514563,823,3736,371,0.0995145631067961,2024,818,200,3545,2078,"FFPE","neg","HPVint(+) confident"
"3687-SS-14","HPVint(+) confident","FFPE","HPV16","3687-SS-14",5509,978,240,149,0.836491095111785,109,203,0.494619963369963,0.335365853658537,996,2928,10,1,637,81,13,3,0,"FFPE","pos","HPVint(+) confident"
