"genes","logFC","logCPM","F","PValue","FDR"
"ADGRB1",-3.53675203098362,2.64211073139405,51.1015726759895,3.53818695068438e-10,5.47109848184325e-06
"FBXO45",0.918838623846147,6.36005575976808,32.4249476364499,1.93942011620531e-07,0.00149946266284413
"CHD3",-0.656810792579136,8.02757263435433,31.1559957856594,3.09810477671406e-07,0.00159686647207765
"SORBS2",-1.99429772702068,4.85818815018529,30.247243039832,4.34850867957903e-07,0.00168102474280826
"CEROX1",-2.2616491310986,2.25569965859848,26.2803175042856,1.98221820304465e-06,0.00613020801473588
"WDR53",0.78881814932952,4.2590706688804,24.8870710871795,3.42826231510625e-06,0.00747070421524495
"ZNF423",-1.3164140369102,2.50547038505975,24.3165970753045,4.30057811834346e-06,0.00747070421524495
"FXR1",0.642694619243346,7.72310240253787,24.2285672071203,4.45424020432466e-06,0.00747070421524495
"COL23A1",-2.25286847354803,3.14543108320624,24.0795363680968,4.72736685711701e-06,0.00747070421524495
"PRSS36",-1.04282928789729,2.15152592250548,23.9742471077703,4.9306544733424e-06,0.00747070421524495
"ATP13A3",0.747840505233514,8.25146828854805,23.6328584226265,5.65377361352275e-06,0.00747070421524495
"FAM110B",-1.48439810629264,2.19263671040916,23.4916626323151,5.98391459942048e-06,0.00747070421524495
"TSC22D1",-1.04456426484338,7.88646889195263,23.2105966654585,6.70136130417057e-06,0.00747070421524495
"MRPL47",0.749073428174199,5.78552286911428,23.1875869473505,6.7638788730149e-06,0.00747070421524495
"CTPS1",0.545814801204334,6.41437515642201,22.7136687733914,8.19385199800987e-06,0.00844676889634844
"ESR1",-1.72449106973228,4.54450164782003,22.5474525351257,8.76609585235898e-06,0.00847188376031418
"BFSP1",1.54610953339852,1.25569974461002,21.8746431159665,1.15357444908341e-05,0.00884015687833847
"SLIT3",-1.63254590098158,5.01592510184086,21.8256924187775,1.17694647307121e-05,0.00884015687833847
"CORO1C",0.633961352519382,7.48383958399782,21.6411803323009,1.26950903457126e-05,0.00884015687833847
"MBNL1-AS1",1.28642699554851,3.32049341969714,21.4707301114413,1.3616679080087e-05,0.00884015687833847
"SENP5",0.593789390747452,7.0287040466689,21.3773665655489,1.41503599882017e-05,0.00884015687833847
"PSMD2",0.689022155974948,8.49284300749355,21.341821544856,1.43591514407951e-05,0.00884015687833847
"PRCD",-1.60191484429591,1.09037317301644,21.2821071748314,1.47170717860082e-05,0.00884015687833847
"TBCCD1",0.625059037927226,5.01018430799661,21.2649457933992,1.48216224157704e-05,0.00884015687833847
"RUVBL1",0.745508484899811,6.14367030760806,21.2168686070219,1.51186037380815e-05,0.00884015687833847
"NTRK3",-2.0940144164517,2.35387217505585,21.1890136632649,1.52934611538092e-05,0.00884015687833847
"ATP8A2",-2.11490900565385,2.78596481331756,21.1495153801929,1.55449806013043e-05,0.00884015687833847
"FRMD4A",-1.12478000722055,5.70497984459466,21.0076110326294,1.64842420017248e-05,0.00884015687833847
"PCYT1A",0.814533415909277,7.35401198147316,20.9937264229733,1.65792245665017e-05,0.00884015687833847
"ABR",-0.526237394342119,7.10268408550198,20.7944574965951,1.80061089685539e-05,0.00885345080051729
"ECT2",0.86911611844956,7.49118945104823,20.7560516890162,1.82953229207473e-05,0.00885345080051729
"ACTL6A",0.694525105337153,6.90170503479124,20.7525632638469,1.83218279516622e-05,0.00885345080051729
"EEF1AKMT4",1.21230738217728,2.89149473575668,20.6215513367964,1.93463848190558e-05,0.00906524692294119
"ZNF577",-0.893572972703557,3.59944225552172,20.467332257451,2.062830307896e-05,0.00924406310870076
"HMGB3",0.939590256203766,6.1796643891642,20.4332002465315,2.09236376385259e-05,0.00924406310870076
"VAMP2",-0.541245249866759,5.83016660779744,20.1631250895437,2.3419387966971e-05,0.00995312806874172
"SLC52A1",-1.20236869341704,3.89176808013901,20.1229567528245,2.38159308377057e-05,0.00995312806874172
"MYO7B",-1.909926917536,1.20747608545148,19.9180491752466,2.59489698525445e-05,0.0105591821271025
"SFRP1",-2.86138792633596,5.91478642714545,19.8459741575568,2.67451586079389e-05,0.0105971771020974
"MRPL3",0.591187725252611,6.76198796833946,19.7872003984694,2.74129912749077e-05,0.0105971771020974
"COL9A2",-1.51577213540441,5.45938786106472,19.6492539323192,2.90486692130087e-05,0.0106915128762
"DNAJB11",0.634950049065974,6.46592039694457,19.6069298583466,2.95703930046584e-05,0.0106915128762
"GLO1",0.653585803775554,7.366168586101,19.5055689876627,3.08594064464034e-05,0.0106915128762
"LOC100506207",-1.32390082278742,2.96567070451719,19.4716502726147,3.13035465728248e-05,0.0106915128762
"DKC1",0.565540019976147,6.59043508887944,19.3584377768669,3.28341694308888e-05,0.0106915128762
"CDRT4",-1.50678991211048,0.442210220623435,19.3408174768786,3.30792290987053e-05,0.0106915128762
"POLR2H",0.649548061775478,6.09290378805936,19.3324334646643,3.3196492156547e-05,0.0106915128762
"RPS27AP16",-1.3577554696864,2.43698172611132,19.2943153942835,3.37350472685128e-05,0.0106915128762
"IRX6",-2.07700027850669,3.21630229467825,19.2841731971735,3.38798506715257e-05,0.0106915128762
"GTF2IRD2B",-0.645870743068347,2.705928608012,19.0876053291449,3.68162071575723e-05,0.0113857802255508
"TBC1D24",-0.766881800956886,4.61051508609233,18.9387955334444,3.92124494666119e-05,0.0116903712459836
"AURKA",0.635626998552024,5.24794461478815,18.8919654090371,3.99992890570227e-05,0.0116903712459836
"CEP55",0.684990846716194,5.87857614673462,18.8412335269922,4.08700390519813e-05,0.0116903712459836
"RAN",0.431846974254967,8.27352455368824,18.8112883507413,4.13931418721076e-05,0.0116903712459836
"VRK1",0.705030581400728,4.77299874234773,18.8006167826662,4.15812208839875e-05,0.0116903712459836
"GMPS",0.670155291994935,7.77347867193987,18.7348420091795,4.27600319718663e-05,0.0118071138282316
"PAK2",0.572176542380303,8.05978359125966,18.6632962714817,4.40813805959069e-05,0.0118958723927345
"CALB1",4.22830526087258,5.06634202362091,18.634757951459,4.46200995135872e-05,0.0118958723927345
"FAM72D",1.09892265033993,1.17462294731631,18.5310637010531,4.66352404268294e-05,0.0122223851308485
"FSTL4",-1.46340853470573,4.2453783670434,18.3366285454189,5.06700921291039e-05,0.0130585272432056
"NTN5",-1.2390588131401,0.253090346574924,18.1255625750315,5.54587967467084e-05,0.0139927975146447
"CRY2",-0.474291242337508,5.00241109038697,18.0985215786264,5.61051184057411e-05,0.0139927975146447
"SIAH2",0.849389202175434,6.62633925796661,18.0456918387753,5.73902945061217e-05,0.0140861289515581
"TMEM198B",-0.687298556990149,5.00940507610412,17.8555045454909,6.22733279252423e-05,0.0149423520322389
"NPTX2",-1.60054750496928,1.15107001209724,17.8330873999196,6.28764084744244e-05,0.0149423520322389
"CDCA4",0.624646362853611,5.54245330566886,17.7999931014368,6.37777426196579e-05,0.0149423520322389
"TSC2",-0.655002049006385,6.94466118018039,17.6334504685655,6.85197221823151e-05,0.015813738270226
"OMD",-1.89378108917091,2.96241452758907,17.5800169800944,7.01168748997009e-05,0.0159443711260893
"KRT10",-1.52416137355647,5.78201658126844,17.4157585254254,7.52709342702603e-05,0.0167345348212455
"STAT3",-0.579616719578719,8.79392467419775,17.4008952298199,7.57561558227503e-05,0.0167345348212455
"PSMC1",0.542425049870372,5.50904335136181,17.2033057821247,8.25213521251621e-05,0.0179224944446134
"TACR2",-1.12793413778396,0.994716256909554,17.1468019792904,8.45681509346865e-05,0.0179224944446134
"FABP4",4.86221887608612,5.25740969096569,17.1456303138964,8.46111423693188e-05,0.0179224944446134
"NCBP2",0.527064342094789,7.03127684668912,17.0616602561401,8.77515718488144e-05,0.0183365210202462
"MFN1",0.524597431038936,6.8083378625367,16.8960533889579,9.43018382874314e-05,0.0194425243391807
"PIK3CA",0.553909626695651,6.69173075543207,16.8046280891056,9.81316936625249e-05,0.019750600103436
"COL9A3",-2.06972728804176,2.48607553664609,16.7995126499798,9.83506569206862e-05,0.019750600103436
"RGPD3",-1.6925529039104,1.2651609475747,16.7402536709307,0.000100924187917275,0.0200075733046773
"MYC",0.981317142210287,6.91626018324672,16.6255063325385,0.000106106532689246,0.0207686748730863
"SCUBE2",-1.85868077486397,4.33113644099766,16.5583031872375,0.000109268148663404,0.0211201672847777
"IQCE",-0.732816139719454,4.78599169290909,16.5214365393794,0.000111043621740691,0.021198364481189
"MYBL2",0.743426299323812,6.44523696309325,16.4407953916423,0.000115031590256142,0.0216918717089113
"SETD3",0.473858898619389,5.67968878829435,16.3936246680901,0.000117432439828953,0.0218778050250011
"CEL",-1.81072944507049,4.55030979487691,16.1678667304811,0.000129658295902012,0.0238464275281458
"ZNF639",0.606185926188013,6.05770207425995,16.0751633953832,0.000135051618172981,0.0238464275281458
"NEGR1",-1.57721938639665,2.56110000238797,16.0711142668271,0.000135292391571551,0.0238464275281458
"ARTN",1.88067010519288,2.47124621521614,16.0461452358851,0.000136786929959419,0.0238464275281458
"PLCH2",-0.869597794722871,6.25538075961461,16.0315805098028,0.000137666556215395,0.0238464275281458
"MAP3K21",0.774320742447032,4.44277071968149,16.0105508840724,0.000138946920135467,0.0238464275281458
"IL31RA",2.08119438943111,0.848691319143974,16.0085032257868,0.000139072243104629,0.0238464275281458
"WFIKKN1",-1.39646038908908,1.30677324326312,15.9807866260643,0.000140780087253454,0.0238464275281458
"SENP2",0.572726303098937,6.50426426749733,15.9631387124748,0.000141878764314131,0.0238464275281458
"F2RL1",2.14131812434113,4.38811384681556,15.9286268042948,0.000144052919537697,0.0239515085463592
"LINC02541",1.00545404104606,2.81397602412166,15.8917598019097,0.00014641339265712,0.0240850030920963
"YEATS2",0.68162498859295,7.1832770737697,15.8101279654582,0.00015178290372148,0.024705463581529
"CLCN4",-1.16024942965612,3.12023495776007,15.7479900692264,0.000156005904984323,0.0249631267238611
"SMS",0.675474609725536,6.32076150478089,15.7354365348962,0.000156873664481568,0.0249631267238611
"ANKFY1",-0.432777628887479,6.9064198866013,15.7024703444133,0.000159176204039463,0.0249631267238611
"FAM71E1",-1.55888610171166,1.52932973132071,15.6845718115845,0.000160440895104293,0.0249631267238611
"RELB",-0.910608980672985,5.62791777296628,15.6408559732632,0.000163573527528191,0.0249631267238611
"DCST2",-1.05128611009804,2.05177225409559,15.6265833428777,0.000164609883778512,0.0249631267238611
"RPN1",0.589576043711111,8.34205097874768,15.625805555515,0.00016466655408613,0.0249631267238611
"C1QTNF1",-1.40298830137355,5.1625803790365,15.5933357383366,0.000167050364167247,0.0250736634432384
"TBL1XR1",0.587837122949988,8.69072985376123,15.5719643735389,0.000168638750442786,0.0250736634432384
"KNSTRN",0.510145493373305,4.85032897013332,15.4365822046103,0.000179069057076614,0.026370903138816
"COL11A2",-1.29829341140372,1.51142519977363,15.3897308775691,0.000182831630341742,0.0265038284915622
"LINC01963",-0.96354571969215,3.4790405382858,15.3827436932522,0.000183399705658485,0.0265038284915622
"USP6",-1.51296608274947,1.0861723488033,15.2943271117627,0.000190747408263536,0.0269547048020861
"HAND2-AS1",-1.85435202942478,1.62871897240658,15.2932928475939,0.000190835131893995,0.0269547048020861
"COA8",0.577536898887528,3.7405300001209,15.266316047651,0.000193137983150611,0.0269547048020861
"CKS2",0.63050825665271,5.16805554048817,15.2621942468569,0.00019349235161557,0.0269547048020861
"NMRAL2P",2.47652889130451,3.56395337490173,15.2305364738031,0.000196236543470135,0.0270929077828455
"MCF2L",-1.07151988467783,5.44447533968976,14.9810910655233,0.000219312999549737,0.0297947312875929
"PCDHGA5",-1.16259578149755,0.358962046049946,14.9699934448571,0.000220402427837548,0.0297947312875929
"CD164L2",-1.18480259701804,1.39375868885529,14.9579943382391,0.00022158663248226,0.0297947312875929
"LOC107985040",-0.997084618379068,0.814723891266358,14.9168446020797,0.000225697806252136,0.0300859067075584
"NUP37",0.35548718526801,4.84589768472841,14.8747415510188,0.000229985679562194,0.0301723325660691
"ZDHHC9",0.55828625440499,5.38529401841507,14.8210299399374,0.000235578016259702,0.0301723325660691
"GALNT17",-2.29590842056628,3.22717126432142,14.8116781418243,0.000236565946553096,0.0301723325660691
"CINP",0.498248769293363,4.41072433043183,14.7989884917332,0.000237913325422617,0.0301723325660691
"RAB4B",-0.911734302954576,1.57051365793431,14.7971851956101,0.000238105439386855,0.0301723325660691
"HOTAIRM1",-0.878955000190261,1.97005108073012,14.783098708823,0.000239611657766736,0.0301723325660691
"HSP90AA1",0.635248799570732,9.91550435397101,14.763187442504,0.00024175747656387,0.0301723325660691
"CFAP92",1.58106649662099,1.28505304457318,14.7613523869516,0.000241956233472972,0.0301723325660691
"CDON",-1.23985892770041,4.06082974796858,14.7120629977806,0.000247358344925551,0.0305992167006704
"ASPN",-1.74825834852729,5.71729697698938,14.6907181453332,0.000249736185214825,0.0306481796188637
"FOXD2",2.4109086558381,2.09318496274048,14.604409941497,0.000259593946685305,0.0316070960440541
"NPIPA1",-0.63742798547484,2.98400047041059,14.5777693157005,0.000262717100933482,0.0317374572791753
"CCNK",0.549958926616296,5.14094161379861,14.535255002073,0.00026778166796774,0.0320985110991097
"HACD2",0.568029804466561,7.18296108048552,14.4962092663527,0.000272521744207397,0.032218193385379
"PDP2",0.567106252281445,4.34788160733154,14.492738536945,0.000272947250435533,0.032218193385379
"ADAMTS17",-1.03852778280499,3.85945516598016,14.3740177408324,0.00028792254523427,0.0334695285224245
"PTGES3",0.318949544432839,8.49025098149687,14.369002460962,0.000288573515183835,0.0334695285224245
"NR3C2",-1.37320844192196,3.88299717037128,14.3538396944171,0.000290550850268529,0.0334695285224245
"CYP4V2",-0.692501070669299,5.00553527053068,14.335685829444,0.000292936641485919,0.0334695285224245
"LINC01315",-1.34176451636623,2.0335205527593,14.3248462379815,0.000294370812846778,0.0334695285224245
"FAM155A",-1.55323443263679,0.92257433455503,14.2930205533973,0.000298623622004211,0.0337052340660665
"ARNT2",-1.63187815005847,5.55111330233744,14.2610218254437,0.000302963480333619,0.0339472775101359
"MELK",0.501582990122336,5.68359761051048,14.2216253940451,0.000308396166617628,0.0343074095281179
"FYTTD1",0.540097505405893,7.438546919338,14.1872979883987,0.000313211754382316,0.0343140280934027
"LSG1",0.61229228088693,6.80621780717913,14.1850410647615,0.000313531069847044,0.0343140280934027
"NMD3",0.600944255679049,6.35621042784299,14.1738949817958,0.000315112978675754,0.0343140280934027
"EIF4G1",0.560039169780046,9.33985199624337,14.1278893254572,0.000321729968671252,0.03478958395499
"UBXN7",0.589818402691219,7.62160685318195,14.0870048393948,0.000327730661112272,0.0348460614039674
"CD207",-1.45021591058343,3.40843692798946,14.0800172699976,0.00032876773725188,0.0348460614039674
"DLGAP5",0.567274428321503,5.40075782619516,14.0783694011148,0.000329012802494939,0.0348460614039674
"DCUN1D5",0.542539222152612,4.67185066989065,14.0538166439416,0.00033268660818338,0.0349932551168314
"B3GNT5",1.21588041228345,7.44610329276576,14.0389696929843,0.000334928652738217,0.0349932551168314
"FAM72A",0.680389266683072,1.99560996038387,13.996831918162,0.000341377195923733,0.0352624446642145
"PCDHGA6",-1.09142903937406,1.71173092728876,13.9923795222392,0.000342066009159424,0.0352624446642145
"FAM136A",0.413534843774631,5.67846165584974,13.9609161394332,0.000346974641973779,0.0355315820453017
"KPNA4",0.494340168084856,7.90218548957134,13.9213742709206,0.000353246853725215,0.0359358953891645
"SNX5",0.304981413642329,7.08063284753761,13.8962100453656,0.000357299264539522,0.0361105786115989
"HPRT1",0.574102767006119,5.46016339643218,13.7794612300841,0.000376737492943863,0.0377752693257587
"CDYL",0.374673262086465,5.50777484711615,13.7682737488238,0.000378656583165789,0.0377752693257587
"FAM89A",1.09024619625038,3.27220973633712,13.731781365825,0.0003849868748319,0.0379180171500752
"ACCS",-0.706723741328465,4.10936465006063,13.7317530345034,0.000384991831634341,0.0379180171500752
"OPA3",-0.325247510746827,5.64972300466663,13.6896968463794,0.000392423024769353,0.0382518978746494
"C2orf92",-0.708352991301754,2.07807882635368,13.6846238886914,0.000393329351488667,0.0382518978746494
"RNF168",0.781249237268583,7.09588104495766,13.6562019988215,0.000398447273101709,0.0385074386498233
"ACLY",0.464733788057985,6.93493731486067,13.5687486138699,0.000414630412746499,0.0398225470329137
"TAF5L",0.347488286693613,5.49306939746412,13.5257476111675,0.000422835016410532,0.0403291844699863
"ALDH1L1",-1.97000190677717,4.53592884212107,13.5139162281375,0.000425121714325019,0.0403291844699863
"WNT5B",-1.15838667460318,3.51971547083191,13.489869068303,0.000429808826037804,0.0405252065672107
"RNF8",0.493177633496487,4.67918160347346,13.4727051217738,0.00043318690744745,0.0405961766658177
"TJP3",-1.36193640393275,4.4826850158093,13.4201315443204,0.000443705616159011,0.0413314454377517
"PKIA",-0.890996249377363,4.90642461118855,13.3889399108889,0.000450070595091077,0.0416733030652295
"FAXDC2",-0.871143924273501,3.52453900190751,13.3688983480568,0.000454209956451362,0.0418062414083774
"FAM72B",0.655500577519509,2.19681595420507,13.3113690945949,0.000466311711490159,0.0423263332185289
"CCT5",0.51004632487223,7.78067730749609,13.3113670366208,0.000466312150305638,0.0423263332185289
"ADAM28",-0.942873765530905,5.91750661537223,13.3031279607217,0.000468072365024151,0.0423263332185289
"TRIM56",-0.424308425464799,7.10844676293789,13.2809549057721,0.000472843619364545,0.0425091911990347
"OPA1",0.496581129222871,7.54692105809277,13.2644065935744,0.000476437229639503,0.0425846756180095
"RNF19A",-0.878555884980927,7.65396151904276,13.2393103052124,0.000481941003119223,0.0428290444323709
"CLEC1A",-1.15776673611291,2.86877662574248,13.2021501752932,0.00049021129618871,0.0429475247942802
"ERG28",0.57218552846452,5.28764833000653,13.1985839387197,0.000491012659815498,0.0429475247942802
"GTF2IRD2",-0.586807602145625,1.93079318819607,13.1959449332844,0.000491606537449886,0.0429475247942802
"PCCA",-0.513920068407263,4.56704624491047,13.1559075187261,0.00050070803371228,0.043456815680033
"ATOH8",-1.32864149118092,2.30765101530189,13.1456965100952,0.0005030569751488,0.043456815680033
"DNAJC19",0.525736057535442,5.18241021944247,13.0902412208655,0.000516014120672683,0.0443284797108983
"LINC01206",2.76462629919209,3.26748809337837,13.0552640733411,0.000524363323997296,0.0444759571636248
"CARS1",-0.490914227827323,6.30133017346197,13.053977130779,0.000524673170614556,0.0444759571636248
"TSC22D2",0.580140717239701,6.12976447738226,13.0469858616541,0.000526359707750329,0.0444759571636248
"PVR",0.723979930533544,5.24922236601378,13.0114483385785,0.000535019562782542,0.0449056110855686
"PDCD10",0.656180877478706,6.50338870001901,13.0023806330594,0.000537252670945495,0.0449056110855686
"SHCBP1",0.551053401980871,4.55578133701395,12.9780273577337,0.000543297930531174,0.0450071686023872
"ELOVL3",1.46062553420345,0.604492207344698,12.9740616301127,0.000544288981998733,0.0450071686023872
"NPIPP1",-0.704648208710681,2.37449295965122,12.9379685017576,0.00055339508065428,0.0453060647493826
"ATP5MJ",0.55050660869097,5.34953108536045,12.9365208514746,0.000553763580006034,0.0453060647493826
"EIF4EBP1",0.804464664021106,5.16328889069678,12.865930019172,0.00057204346184949,0.0462598755695258
"U2AF1L4",-0.61378580780215,3.02031407025389,12.8626820112929,0.00057289939986527,0.0462598755695258
"ZNF135",-0.939596106228856,0.946552751833105,12.8570122912387,0.000574396695941859,0.0462598755695258
