SampleID,HmGene,Chr,Start,HPVType,HPVStart,HPVGene,Support,Split,HmStrand,HPVStrand,Source,annot,from,SampleID_HPV,SampleID_HmGene,sample_chr_start,total_read,HmGene_chr_start_annot,unique_ID
GS18051T,CA6,chr1,8972918,HPV16,2243,E1,51,48,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18051T_HPV16,GS18051T_CA6,GS18051T_chr1_8972918,99,CA6_chr1_8972918_enhancer_or_nearest_TSS_HPV16_2243,GS18051T_CA6_chr1_8972918_HPV16_2243
TCGA-KU-A6H7-01A,TMEM82,chr1,15740225,HPV16,233,"E6,E6flsplice",3,62,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-KU-A6H7-01A_HPV16,TCGA-KU-A6H7-01A_TMEM82,TCGA-KU-A6H7-01A_chr1_15740225,65,TMEM82_chr1_15740225_enhancer_or_nearest_TSS_HPV16_233,TCGA-KU-A6H7-01A_TMEM82_chr1_15740225_HPV16_233
GS18005T,CPLANE2,chr1,16254869,HPV16,2636,E1,11,21,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18005T_HPV16,GS18005T_CPLANE2,GS18005T_chr1_16254869,32,CPLANE2_chr1_16254869_enhancer_or_nearest_TSS_HPV16_2636,GS18005T_CPLANE2_chr1_16254869_HPV16_2636
GS18092T,FOXE3,chr1,47410641,HPV16,440,E6,2,2,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18092T_HPV16,GS18092T_FOXE3,GS18092T_chr1_47410641,4,FOXE3_chr1_47410641_enhancer_or_nearest_TSS_HPV16_440,GS18092T_FOXE3_chr1_47410641_HPV16_440
GS18092T,FOXE3,chr1,47417230,HPV16,932,E1,1,11,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18092T_HPV16,GS18092T_FOXE3,GS18092T_chr1_47417230,12,FOXE3_chr1_47417230_enhancer_or_nearest_TSS_HPV16_932,GS18092T_FOXE3_chr1_47417230_HPV16_932
GS18092T,FOXE3,chr1,47421065,HPV16,3545,"E2,E4",484,355,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18092T_HPV16,GS18092T_FOXE3,GS18092T_chr1_47421065,839,FOXE3_chr1_47421065_enhancer_or_nearest_TSS_HPV16_3545,GS18092T_FOXE3_chr1_47421065_HPV16_3545
GS18092T,FOXD2,chr1,47433362,HPV16,932,E1,9,3,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18092T_HPV16,GS18092T_FOXD2,GS18092T_chr1_47433362,12,FOXD2_chr1_47433362_enhancer_or_nearest_TSS_HPV16_932,GS18092T_FOXD2_chr1_47433362_HPV16_932
GS18092T,FOXD2,chr1,47434641,HPV16,639,E7,285,140,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18092T_HPV16,GS18092T_FOXD2,GS18092T_chr1_47434641,425,FOXD2_chr1_47434641_enhancer_or_nearest_TSS_HPV16_639,GS18092T_FOXD2_chr1_47434641_HPV16_639
GS18092T,FOXD2,chr1,47435596,HPV16,434,E6,782,386,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18092T_HPV16,GS18092T_FOXD2,GS18092T_chr1_47435596,1168,FOXD2_chr1_47435596_enhancer_or_nearest_TSS_HPV16_434,GS18092T_FOXD2_chr1_47435596_HPV16_434
GS18092T,FOXD2,chr1,47437289,HPV16,932,E1,1,2,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18092T_HPV16,GS18092T_FOXD2,GS18092T_chr1_47437289,3,FOXD2_chr1_47437289_enhancer_or_nearest_TSS_HPV16_932,GS18092T_FOXD2_chr1_47437289_HPV16_932
TCGA-BA-5559-01A,TCTEX1D1,chr1,66763332,HPV16,3939,E5,87,9,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-BA-5559-01A_HPV16,TCGA-BA-5559-01A_TCTEX1D1,TCGA-BA-5559-01A_chr1_66763332,96,TCTEX1D1_chr1_66763332_enhancer_or_nearest_TSS_HPV16_3939,TCGA-BA-5559-01A_TCTEX1D1_chr1_66763332_HPV16_3939
TCGA-QK-A6IF-01A,LINC01364,chr1,87423858,HPV16,2940,E2,228,13,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-QK-A6IF-01A_HPV16,TCGA-QK-A6IF-01A_LINC01364,TCGA-QK-A6IF-01A_chr1_87423858,241,LINC01364_chr1_87423858_enhancer_or_nearest_TSS_HPV16_2940,TCGA-QK-A6IF-01A_LINC01364_chr1_87423858_HPV16_2940
15912,PBX1,chr1,164563990,HPV16,1975,E1,3,15,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,15912_HPV16,15912_PBX1,15912_chr1_164563990,18,PBX1_chr1_164563990_enhancer_or_nearest_TSS_HPV16_1975,15912_PBX1_chr1_164563990_HPV16_1975
GS18081T,MIR205,chr1,209432638,HPV16,1737,E1,6,118,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18081T_HPV16,GS18081T_MIR205,GS18081T_chr1_209432638,124,MIR205_chr1_209432638_enhancer_or_nearest_TSS_HPV16_1737,GS18081T_MIR205_chr1_209432638_HPV16_1737
GS18081T,MIR205,chr1,209468948,HPV16,3654,E2,1,4,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18081T_HPV16,GS18081T_MIR205,GS18081T_chr1_209468948,5,MIR205_chr1_209468948_enhancer_or_nearest_TSS_HPV16_3654,GS18081T_MIR205_chr1_209468948_HPV16_3654
TCGA-BB-7866-01A,SPRED2,chr2,65859997,HPV16,2751,E1,152,38,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-BB-7866-01A_HPV16,TCGA-BB-7866-01A_SPRED2,TCGA-BB-7866-01A_chr2_65859997,190,SPRED2_chr2_65859997_enhancer_or_nearest_TSS_HPV16_2751,TCGA-BB-7866-01A_SPRED2_chr2_65859997_HPV16_2751
GS18026T,PSD4,chr2,113192840,HPV16,3811,E2,6,7,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18026T_HPV16,GS18026T_PSD4,GS18026T_chr2_113192840,13,PSD4_chr2_113192840_enhancer_or_nearest_TSS_HPV16_3811,GS18026T_PSD4_chr2_113192840_HPV16_3811
GS18026T,PAX8,chr2,113261385,HPV16,1685,E1,31,26,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18026T_HPV16,GS18026T_PAX8,GS18026T_chr2_113261385,57,PAX8_chr2_113261385_enhancer_or_nearest_TSS_HPV16_1685,GS18026T_PAX8_chr2_113261385_HPV16_1685
GS18026T,PAX8,chr2,113264609,HPV16,6632,L1,352,383,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18026T_HPV16,GS18026T_PAX8,GS18026T_chr2_113264609,735,PAX8_chr2_113264609_enhancer_or_nearest_TSS_HPV16_6632,GS18026T_PAX8_chr2_113264609_HPV16_6632
GS18041T,INSIG2,chr2,118068026,HPV16,1479,E1,48,40,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18041T_HPV16,GS18041T_INSIG2,GS18041T_chr2_118068026,88,INSIG2_chr2_118068026_enhancer_or_nearest_TSS_HPV16_1479,GS18041T_INSIG2_chr2_118068026_HPV16_1479
TCGA-HD-A634-01A,NR4A2,chr2,156325698,HPV16,5374,L2,1309,150,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-HD-A634-01A_HPV16,TCGA-HD-A634-01A_NR4A2,TCGA-HD-A634-01A_chr2_156325698,1459,NR4A2_chr2_156325698_enhancer_or_nearest_TSS_HPV16_5374,TCGA-HD-A634-01A_NR4A2_chr2_156325698_HPV16_5374
TCGA-HD-A634-01A,GPD2,chr2,156476208,HPV16,578,E7,35,4,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-HD-A634-01A_HPV16,TCGA-HD-A634-01A_GPD2,TCGA-HD-A634-01A_chr2_156476208,39,GPD2_chr2_156476208_enhancer_or_nearest_TSS_HPV16_578,TCGA-HD-A634-01A_GPD2_chr2_156476208_HPV16_578
TCGA-HD-A634-01A,GPD2,chr2,156492428,HPV16,1747,E1,37,14,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-HD-A634-01A_HPV16,TCGA-HD-A634-01A_GPD2,TCGA-HD-A634-01A_chr2_156492428,51,GPD2_chr2_156492428_enhancer_or_nearest_TSS_HPV16_1747,TCGA-HD-A634-01A_GPD2_chr2_156492428_HPV16_1747
TCGA-MZ-A5BI-01A,GTF3C3,chr2,196796565,HPV33,3350,"E2,E4",0,11,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_GTF3C3,TCGA-MZ-A5BI-01A_chr2_196796565,11,GTF3C3_chr2_196796565_enhancer_or_nearest_TSS_HPV33_3350,TCGA-MZ-A5BI-01A_GTF3C3_chr2_196796565_HPV33_3350
36313,SPATA12,chr3,57060787,HPV16,3390,"E2,E4",0,3,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,36313_HPV16,36313_SPATA12,36313_chr3_57060787,3,SPATA12_chr3_57060787_enhancer_or_nearest_TSS_HPV16_3390,36313_SPATA12_chr3_57060787_HPV16_3390
36313,SPATA12,chr3,57064538,HPV16,364,"E6,E6flsplice",5,5,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,36313_HPV16,36313_SPATA12,36313_chr3_57064538,10,SPATA12_chr3_57064538_enhancer_or_nearest_TSS_HPV16_364,36313_SPATA12_chr3_57064538_HPV16_364
TCGA-CV-7100-01A,PLCXD2,chr3,111684326,HPV33,895,E1,38,6,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-7100-01A_HPV33,TCGA-CV-7100-01A_PLCXD2,TCGA-CV-7100-01A_chr3_111684326,44,PLCXD2_chr3_111684326_enhancer_or_nearest_TSS_HPV33_895,TCGA-CV-7100-01A_PLCXD2_chr3_111684326_HPV33_895
TCGA-CV-7100-01A,PLCXD2,chr3,111694913,HPV33,895,E1,23,5,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-7100-01A_HPV33,TCGA-CV-7100-01A_PLCXD2,TCGA-CV-7100-01A_chr3_111694913,28,PLCXD2_chr3_111694913_enhancer_or_nearest_TSS_HPV33_895,TCGA-CV-7100-01A_PLCXD2_chr3_111694913_HPV33_895
TCGA-CV-7100-01A,PLCXD2,chr3,111697377,HPV33,895,E1,11,4,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-7100-01A_HPV33,TCGA-CV-7100-01A_PLCXD2,TCGA-CV-7100-01A_chr3_111697377,15,PLCXD2_chr3_111697377_enhancer_or_nearest_TSS_HPV33_895,TCGA-CV-7100-01A_PLCXD2_chr3_111697377_HPV33_895
TCGA-CV-7100-01A,PHLDB2,chr3,111707021,HPV33,895,E1,7,7,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-7100-01A_HPV33,TCGA-CV-7100-01A_PHLDB2,TCGA-CV-7100-01A_chr3_111707021,14,PHLDB2_chr3_111707021_enhancer_or_nearest_TSS_HPV33_895,TCGA-CV-7100-01A_PHLDB2_chr3_111707021_HPV33_895
TCGA-CV-7100-01A,PHLDB2,chr3,111732704,HPV33,3350,"E2,E4",6,2,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-7100-01A_HPV33,TCGA-CV-7100-01A_PHLDB2,TCGA-CV-7100-01A_chr3_111732704,8,PHLDB2_chr3_111732704_enhancer_or_nearest_TSS_HPV33_3350,TCGA-CV-7100-01A_PHLDB2_chr3_111732704_HPV33_3350
TCGA-CV-7100-01A,PHLDB2,chr3,111774721,HPV33,2494,E1,7,2,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-7100-01A_HPV33,TCGA-CV-7100-01A_PHLDB2,TCGA-CV-7100-01A_chr3_111774721,9,PHLDB2_chr3_111774721_enhancer_or_nearest_TSS_HPV33_2494,TCGA-CV-7100-01A_PHLDB2_chr3_111774721_HPV33_2494
TCGA-CV-7100-01A,PHLDB2,chr3,111780249,HPV33,2062,E1,2,2,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-7100-01A_HPV33,TCGA-CV-7100-01A_PHLDB2,TCGA-CV-7100-01A_chr3_111780249,4,PHLDB2_chr3_111780249_enhancer_or_nearest_TSS_HPV33_2062,TCGA-CV-7100-01A_PHLDB2_chr3_111780249_HPV33_2062
GS18026T,ATP2C1,chr3,130977586,HPV16,1685,E1,78,5,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18026T_HPV16,GS18026T_ATP2C1,GS18026T_chr3_130977586,83,ATP2C1_chr3_130977586_enhancer_or_nearest_TSS_HPV16_1685,GS18026T_ATP2C1_chr3_130977586_HPV16_1685
GS18026T,ATP2C1,chr3,130993929,HPV16,726,E7,144,28,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18026T_HPV16,GS18026T_ATP2C1,GS18026T_chr3_130993929,172,ATP2C1_chr3_130993929_enhancer_or_nearest_TSS_HPV16_726,GS18026T_ATP2C1_chr3_130993929_HPV16_726
GS18026T,ASTE1,chr3,130996752,HPV16,222,E6,0,3,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18026T_HPV16,GS18026T_ASTE1,GS18026T_chr3_130996752,3,ASTE1_chr3_130996752_enhancer_or_nearest_TSS_HPV16_222,GS18026T_ASTE1_chr3_130996752_HPV16_222
GS18026T,ASTE1,chr3,130998390,HPV16,525,E6,0,2,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18026T_HPV16,GS18026T_ASTE1,GS18026T_chr3_130998390,2,ASTE1_chr3_130998390_enhancer_or_nearest_TSS_HPV16_525,GS18026T_ASTE1_chr3_130998390_HPV16_525
GS18019T,LINC01192,chr3,163360661,HPV16,4054,E5,243,211,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18019T_HPV16,GS18019T_LINC01192,GS18019T_chr3_163360661,454,LINC01192_chr3_163360661_enhancer_or_nearest_TSS_HPV16_4054,GS18019T_LINC01192_chr3_163360661_HPV16_4054
GS18019T,LINC01192,chr3,163364345,HPV16,5268,L2,9,2,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18019T_HPV16,GS18019T_LINC01192,GS18019T_chr3_163364345,11,LINC01192_chr3_163364345_enhancer_or_nearest_TSS_HPV16_5268,GS18019T_LINC01192_chr3_163364345_HPV16_5268
TCGA-CN-A499-01A,SOX2-OT,chr3,181644221,HPV16,809,E7,0,17,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CN-A499-01A_HPV16,TCGA-CN-A499-01A_SOX2-OT,TCGA-CN-A499-01A_chr3_181644221,17,SOX2-OT_chr3_181644221_enhancer_or_nearest_TSS_HPV16_809,TCGA-CN-A499-01A_SOX2-OT_chr3_181644221_HPV16_809
GS18070T,SOX2,chr3,181699884,HPV33,3350,"E2,E4",28,6,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181699884,34,SOX2_chr3_181699884_enhancer_or_nearest_TSS_HPV33_3350,GS18070T_SOX2_chr3_181699884_HPV33_3350
GS18070T,IGF2BP2,chr3,181699884,HPV33,3350,"E2,E4",28,6,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_IGF2BP2,GS18070T_chr3_181699884,34,IGF2BP2_chr3_181699884_enhancer_or_nearest_TSS_HPV33_3350,GS18070T_IGF2BP2_chr3_181699884_HPV33_3350
GS18070T,SOX2-OT,chr3,181699884,HPV33,3350,"E2,E4",28,6,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2-OT,GS18070T_chr3_181699884,34,SOX2-OT_chr3_181699884_enhancer_or_nearest_TSS_HPV33_3350,GS18070T_SOX2-OT_chr3_181699884_HPV33_3350
GS18070T,LINC01994,chr3,181699884,HPV33,3350,"E2,E4",28,6,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_LINC01994,GS18070T_chr3_181699884,34,LINC01994_chr3_181699884_enhancer_or_nearest_TSS_HPV33_3350,GS18070T_LINC01994_chr3_181699884_HPV33_3350
GS18070T,SOX2,chr3,181980645,HPV33,895,E1,77,123,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181980645,200,SOX2_chr3_181980645_enhancer_or_nearest_TSS_HPV33_895,GS18070T_SOX2_chr3_181980645_HPV33_895
